Date,Amount,Category
2017-01-01,38.1,Social Life
2017-01-01,2000,Other
2017-01-01,875,Food
2017-01-01,130,Transportation
2017-01-02,32.4,Social Life
2017-01-02,90,Food
2017-01-02,97,Food
2017-01-03,34.5,Social Life
2017-01-03,50,Transportation
2017-01-03,179,Food
2017-01-04,20.7,Social Life
2017-01-04,20,Food
2017-01-04,58,Transportation
2017-01-04,70,Food
2017-01-04,15,Food
2017-01-05,21.5,Social Life
2017-01-05,145,Food
2017-01-05,58,Transportation
2017-01-05,95,Food
2017-01-06,23.1,Social Life
2017-01-06,60,Food
2017-01-07,29.7,Social Life
2017-01-07,3,Petty cash
2017-01-07,30,Food
2017-01-07,75,Food
2017-01-07,2000,Allowance
2017-01-07,35,Transportation
2017-01-07,130,Food
2017-01-07,120,Food
2017-01-08,36.6,Social Life
2017-01-08,150,Food
2017-01-08,269.4,Food
2017-01-08,94,Food
2017-01-08,40,Food
2017-01-09,36.1,Social Life
2017-01-09,40,Food
2017-01-09,40,Food
2017-01-09,40,Food
2017-01-09,50,Food
2017-01-10,20.6,Social Life
2017-01-10,102,Food
2017-01-10,70,Food
2017-01-10,128,Food
2017-01-10,115,Gift
2017-01-11,20.4,Social Life
2017-01-11,150,Food
2017-01-11,160,Food
2017-01-11,196,Beauty
2017-01-12,30.1,Social Life
2017-01-12,75,Food
2017-01-12,504,Food
2017-01-13,38.7,Social Life
2017-01-13,20,Apparel
2017-01-13,40,Food
2017-01-13,1000,Allowance
2017-01-13,25,Food
2017-01-13,130,Apparel
2017-01-14,41.4,Social Life
2017-01-14,200,Food
2017-01-14,30,Other
2017-01-14,65,Food
2017-01-14,324,Food
2017-01-15,37,Social Life
2017-01-15,4800,Household
2017-01-15,8000,Allowance
2017-01-15,1800,Apparel
2017-01-15,25,Food
2017-01-16,36,Social Life
2017-01-16,150,Food
2017-01-16,140,Apparel
2017-01-16,500,Apparel
2017-01-16,25,Food
2017-01-17,37,Social Life
2017-01-17,15,Food
2017-01-17,25,Food
2017-01-18,38,Social Life
2017-01-18,10,Food
2017-01-18,100,Food
2017-01-18,15,Food
2017-01-19,23,Social Life
2017-01-19,110,Food
2017-01-19,25,Food
2017-01-19,280,Food
2017-01-19,40,Food
2017-01-20,26.7,Social Life
2017-01-20,195,Food
2017-01-20,241,Food
2017-01-21,27.5,Social Life
2017-01-21,240,Other
2017-01-21,1000,Allowance
2017-01-22,21.7,Social Life
2017-01-22,25,Food
2017-01-23,22.9,Social Life
2017-01-23,65,Food
2017-01-23,74,Food
2017-01-23,80,Food
2017-01-23,75,Food
2017-01-23,40,Food
2017-01-24,26.2,Social Life
2017-01-24,110,Food
2017-01-24,30,Food
2017-01-24,20,Food
2017-01-24,30,Food
2017-01-25,36.5,Social Life
2017-01-25,50,Other
2017-01-25,110,Food
2017-01-25,70,Food
2017-01-26,41.8,Social Life
2017-01-26,160,Food
2017-01-26,400,Other
2017-01-26,113,Food
2017-01-26,1000,Allowance
